of darkness
of heights
of flying
of pain
of open spaces or crowds
of needles or pointed objects
of riding in a car
of men
of angina or choking
of flowers
of people or society
of being touched
of peanut butter
of spiders
of numbers
of thunder and lightning
of disorder or untidiness
of imperfection
of failure
 of Human-Like Figures
of being alone
of bacteria
of gravity
of stairs or steep slopes
of amphibians
of pins and needles
of books
of plants
of ugliness
of being ridiculed
of mirrors
of snow
of colors
of clocks
 of Time
of confined spaces
of clowns
of computers
of dogs
of trees
of dentists
of houses
of accidents
of the home
of cats
of insects
of teenagers
of horses
of marriage
of knees
of speaking in public
of women
 of touch
of the sun
of blood
of reptiles
of long words
of water
of illness
of doctors
of insects
of rooms
of buttons
of the color white
of tornadoes and hurricanes
of childbirth
of cooking
of large things
of the color black
of small things
of dirt and germs
of death or dead things
of the night
of hospitals
of the dark
of gaining weight
of the figure 8
of rain
of snakes
of birds
of paper
of disease
of children
of Kissing
of love
of phobias
of feet
of the color purple
of ferns
of flying
of fire
of Halloween
of school
of being stared at
of the moon
of social evaluation
of sleep
of speed
of technology
of thunder
of needles/injections
of Holes
of beautiful women
of germs
of witches and witchcraft
of strangers or foreigners
of animals
